quote,author,category
"Hard truths can be dealt with, triumphed over, but lies will destroy your soul.","Patricia Briggs, Moon Called","facing-facts, lying"
"Virtue is simply happiness, and happiness is a by-product of function. You are happy when you are functioning.",William S. Burroughs,"Happy, You, Virtue "
"When a woman once asked Joe how he could come from such a magnificent home and such a good family and still become a gangster, Joe's answer was two-pronged: (a) he wasn't a gangster, he was an outlaw; (b) he came from a magnificent house not a magnificent home.","Dennis Lehane, Live by Night","family-relationships, gangsters"
"I didn't plan to be the rude middle-class comedian. You write a certain type of joke that you find funny, and mine happen to be often rude. Yes, it's juvenile, but that's me.",Jimmy Carr,"Plan, Me, You "
Nature is a catchment of sorrows.,Maxine Kumin,nature
"Frustration... when our happiness or sadness looses control. The blissful intensity of sensations, the disappointing realisation that dissatisfaction is not enough.",Strohberry,"frustration, happiness, life-quotes, sadness, satisfaction"
Just because a person claims to be a Christian does not necessarily mean that he is one.,"Billy Graham, Billy Graham in Quotes","billy-graham, christianity"
Sleep is the best cure for waking troubles.,Miguel de Cervantes,sleep
To be surrendered to God is of more value than our personal holiness.,"Oswald Chambers, My Utmost for His Highest",surrender
Life's just a cocktail party - on the street.,Mick Jagger,lyrics
"That's the beauty of argument, if you argue correctly, you're never wrong.",Christopher Buckley,"argument, humor, right, thank-you-for-smoking, wrong"
"A moment of brilliance is not good enough to pay for your mistakes, it's taking responsibility",Mohamed Mohamed Adel,"life, life-lessons, mistakes, responsibility"
"Take this kiss upon the brow!And, in parting from you now,Thus much let me avow-You are not wrong, who deemThat my days have been a dream;Yet if hope has flown awayIn a night, or in a day,In a vision, or in none,? that we see or seemIs but a dream within a dream.","Edgar Allan Poe, The Complete Stories and Poems","dreams, poetry"
Celebrate every moment of your sacred life on earth.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","life, moment, sacred"
"Sometimes my body wakes me up and says 'Hey, you haven't had pain in a while. How about pain?' And sometimes I can't breathe, and that's hard to live with. But I still celebrate life and don't give up.",Mattie Stepanek,"celebrate-life, giving-up, pain"
"Grief leads you to believe that life will never be ordinary again, and it never really will be for it is made extraordinary as it is touched and transformed by our greatest loves and deepest losses.","Kate McGahan, Jack McAfghan: Return from Rainbow Bridge","extraordinary, grief, grow, learn, loss, transform"
I am sad for the dead and I am sad for the livingbut not for my 5 cats,"Charles Bukowski, You Get So Alone at Times That it Just Makes Sense",cats
If I were sufficiently romantic I suppose I'd have killed myself long ago just to make people talk about me. I haven't even got the conviction to make a successful drunkard.,John Dos Passos,"Myself, Successful, Me "
A successful lawsuit is the one worn by a policeman.,Robert Frost,"law, lawyers"
"In fact the flexibility of our memories makes it relatively easy because we can meld all these different memories together seamlessly to invent a new imaginary scene, one which we have never even contemplated before, let alone witnessed. The flexibility of memory seems to be the key to imagining a future. Our millions of fragments of memories from different times of our lives are not set in stone; they can change, giving us endless, instant imaginative possibilities.",Claudia Hammond,"future, memory"
"It's obsequious little nicety-nice girls like me who allow assholes to run the world: Miss Harlot O'Harlots, billionaire phony tree huggers, hypocrite drug-snorting, weed-puffing peace activists who fund the mass-murdering drug cartels and perpetuate crushing poverty in dirt-poor banana republics. It's my petty fear of personal rejection that allows so many true evils to exist. My cowardice enables atrocities.","Chuck Palahniuk, Damned","cowardice, evil"
"Why can't we simply borrow what is useful to us from Buddhism, Hinduism, Taoism, especially Zen, as we borrow from Christianity, science, American Indian traditions and world literature in general, including philosophy, and let the rest go hang? Borrow what we need but rely principally upon our own senses, common sense and daily living experience.","Edward Abbey, Postcards from Ed: Dispatches and Salvos from an American Iconoclast","common-sense, experiences, religion"
The commercial work of today is the classics of tomorrow.,Orson Scott Card,"classics, fiction, writing"
"In the computer field, the moment of truth is a running program; all else is prophecy.",Herbert Simon,"Moment, Truth Is, Computer "
"There was a time in the ancient world - a very long time - in which the central cultural problem must have seemed an inexhaustible outpouring of books. Where to put them all? How to organize them on the groaning shelves? How to hold the profusion of knowledge in one's head? The loss of this plenitude would have been virtually inconceivable to anyone living in its midst. Then, not all at once but with the cumulative force of a mass extinction, the whole enterprise came to an end. What looked stable turned out to be fragile, and what had seemed for all time was only for the time being.","Stephen Greenblatt, The Swerve: How the World Became Modern","books, renaissance"
"Patriotism and its results--wars--give an enormous revenue to the newspaper trade, and profits to many other trades. Every writer, teacher, and professor is more secure in his place the more he preaches patriotism. Every Emperor and King obtains the more fame the more he is addicted to patriotism.",Leo Tolstoy,patriotism
